DATE,PAYS,"CODE POSTAL",LOCALITE,"LANGUE MATERNELLE","LANGUE VEHICULAIRE","COMMENT NOUS AVEZ-VOUS DECOUVERT?",MIN,KM
01/04/2019,USA,91401,CALIFORNIA ,ANG,ANG,QUOI FAIRE AU  Luxembourg ,,
02/04/2019,LU,7230,HELMSANGE,FR,FR,CRECHE ,35,32
02/04/2019,LU,4143,ESCH,BOSNIEN,LUX,RTL TELE,17,11
04/04/2019,FR,2420,LE CATELET,FR,FR,VISIT LUXEMBOURG,204,317
05/04/2019,LU,1411,LUXEMBOURG,LU,FR,B.A.O.,24,25
05/04/2019,LU,1266,LUXEMBOURG,LU,FR,B.A.O.,27,32
05/04/2019,LU,1266,LUXEMBOURG,LU,FR,B.A.O.,27,32
06/04/2019,LU,5236,SANDWEILER,ANG,LUX,GOOGLE,26,33
06/04/2019,LU,1345,LUXEMBOURG,LU,FR,GOOGLE,29,27
06/04/2019,DE,15294,TRIER,DE,DE,GOOGLE ,58,86
06/04/2019,FR,4110,ESCH SUR ALZETTE ,FR,FR,AMIS,13,9
06/04/2019,LU,1233,LUXEMBOURG,LUX,LUX,ECOLE,25,26
06/04/2019,LU,6235,JUNGLINSTER,LUX,LUX,ECOLE,35,49
07/04/2019,LU,9172,BOURSCHEID,LUX,LUX,NE SAIS PLUS,51,73
07/04/2019,LU,6553,BERDORF,LUX,LUX,GOOGLE,44,60
07/04/2019,LU,4680,SOLEUVRE,LUX,LUX,GOOGLE ,5,3
07/04/2019,LU,1159,LUXEMBOURG,LITUANIEN,FR,ECOLE,24,34
07/04/2019,LU,8365,HAGEN,FR,FR,GOOGLE,22,17
07/04/2019,LU,6189,GONDERANGE,ESP,LUX,ECOLE,29,42
07/04/2019,LU,4360,ESCH SUR ALZETTE ,FR,FR,ELDORADIO,11,6
07/04/2019,FR,57480,KERLING-LES-SIERCK,FR,FR,FAMILLE,38,51
07/04/2019,LU,1272,LUXEMBOURG,FR,FR,ECOLE,28,35
07/04/2019,LU,4423,SOLEUVRE,LUX,LUX,ECOLE,5,2
07/04/2019,LU,2265,LUXEMBOURG,ROUMAIN,FR,2ŠME VISITE,19,25
07/04/2019,LU,7641,WALDBILLIG,LUX,LUX,FB,42,56
07/04/2019,LU,8450,STEINFORT,LUX,LUX,B.A.O.,26,19
07/04/2019,FR,57390,AUDUN-LE-TICHE,FR,FR,AMIS,15,11
07/04/2019,LU,3442,DUDELANGE,ESP,LUX,ECOLE,19,18
08/04/2019,BE,1700,DILBEEK,NL,ANG,VISIT LUXEMBOURG,155,241
08/04/2019,LU,9190,VICHTEN,LUX,FR,ECOLE,51,60
08/04/2019,LU,7418,BUSCHDORF,LUX,FR,RTL RADIO,44,34
08/04/2019,BE,1450,CHASTRE,FR,DE,GOOGLE - QUOI FAIRE AU LUX,126,181
08/04/2019,FR,57100,THIONVILLE,FR,ANG,B.A.O.,40,40
08/04/2019,FR,57330,ESCHERANGE,FR,LUX,TRAVAIL A DIFFERDANGE,26,28
08/04/2019,LU,4061,ESCH-SUR-ALZETTE ,ANG,FR,2EME VISITE,15,8
08/04/2019,FR,54000,NANCY,FR,ANG,GOOGLE - QUOI FAIRE AU LUX,90,117
08/04/2019,AUSTRALIE,6010,SWANBOURNE,ANG,DE,2EME VISITE,,
08/04/2019,BE,6700,ARLON,FR,ANG,INTERNET (SAIS PLUS),35,25
08/04/2019,FR,57280,FEVES,FR,ESP,FB,46,53
08/04/2019,FR,57570,HAGEN,FR,ANG,FB,34,36
08/04/2019,LU,1851,LUXEMBOURG,LUX,DE,B.A.O.,24,24
08/04/2019,LU,1218,LUXEMBOURG,FR,FR,ECOLE,23,24
08/04/2019,LU,3449,DUDELANGE,LUX,FR,ECOLE,19,19
08/04/2019,LU,3675,KAYL,LUX,DE,3EME VISITE,19,17
